"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
46;5025;"be";2018-01-26 08:00:00;26;"JAN";"08:00";-1123;0;0;0
46;5025;"de";2018-01-26 08:00:00;26;"JAN";"08:00";812;0;0;11636
46;5025;"fr";2018-01-26 08:00:00;26;"JAN";"08:00";-11568;623;1;0
46;5025;"nl";2018-01-26 08:00:00;26;"JAN";"08:00";-1569;0;0;1136
224;4669;"be";2018-01-11 12:00:00;11;"JAN";"12:00";2001;1855;1;0
224;4669;"de";2018-01-11 12:00:00;11;"JAN";"12:00";12720;0;0;7481
224;4669;"fr";2018-01-11 12:00:00;11;"JAN";"12:00";-11048;4979;1;0
224;4669;"nl";2018-01-11 12:00:00;11;"JAN";"12:00";-3527;815;1;0
224;4691;"be";2018-01-12 10:00:00;12;"JAN";"10:00";-832;0;0;0
224;4691;"de";2018-01-12 10:00:00;12;"JAN";"10:00";6575;0;0;7721
224;4691;"fr";2018-01-12 10:00:00;12;"JAN";"10:00";-11801;7630;1;0
224;4691;"nl";2018-01-12 10:00:00;12;"JAN";"10:00";-1225;4060;1;0
224;4696;"be";2018-01-12 15:00:00;12;"JAN";"15:00";-395;0;0;0
224;4696;"de";2018-01-12 15:00:00;12;"JAN";"15:00";9407;0;0;7721
224;4696;"fr";2018-01-12 15:00:00;12;"JAN";"15:00";-11032;1270;1;0
224;4696;"nl";2018-01-12 15:00:00;12;"JAN";"15:00";-1736;3269;1;0
360;4646;"be";2018-01-10 13:00:00;10;"JAN";"13:00";-1831;0;0;0
360;4646;"de";2018-01-10 13:00:00;10;"JAN";"13:00";8102;0;0;8833
360;4646;"fr";2018-01-10 13:00:00;10;"JAN";"13:00";-11789;0;0;0
360;4646;"nl";2018-01-10 13:00:00;10;"JAN";"13:00";-522;2;1;0
360;4647;"be";2018-01-10 14:00:00;10;"JAN";"14:00";-1752;12;1;0
360;4647;"de";2018-01-10 14:00:00;10;"JAN";"14:00";6516;0;0;8833
360;4647;"fr";2018-01-10 14:00:00;10;"JAN";"14:00";-10411;0;0;0
360;4647;"nl";2018-01-10 14:00:00;10;"JAN";"14:00";-804;78;1;0
589;3834;"be";2017-12-07 17:00:00;7;"DEC";"17:00";-2406;528;1;0
589;3834;"de";2017-12-07 17:00:00;7;"DEC";"17:00";-4102;985;1;7001
