"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
46;5025;"fr";2018-01-26 08:00:00;26;"JAN";"08:00";-11586;605;1;0
46;5025;"be";2018-01-26 08:00:00;26;"JAN";"08:00";-1101;22;1;0
46;5025;"de";2018-01-26 08:00:00;26;"JAN";"08:00";-328;0;0;12776
46;5025;"nl";2018-01-26 08:00:00;26;"JAN";"08:00";-433;0;0;0
224;4669;"fr";2018-01-11 12:00:00;11;"JAN";"12:00";-9648;6379;1;0
224;4669;"be";2018-01-11 12:00:00;11;"JAN";"12:00";146;0;0;0
224;4669;"de";2018-01-11 12:00:00;11;"JAN";"12:00";11426;0;0;8775
224;4669;"nl";2018-01-11 12:00:00;11;"JAN";"12:00";-1778;2564;1;0
224;4691;"fr";2018-01-12 10:00:00;12;"JAN";"10:00";-10376;9055;1;0
224;4691;"be";2018-01-12 10:00:00;12;"JAN";"10:00";-832;0;0;0
224;4691;"de";2018-01-12 10:00:00;12;"JAN";"10:00";6089;0;0;8207
224;4691;"nl";2018-01-12 10:00:00;12;"JAN";"10:00";-2164;3121;1;0
224;4696;"fr";2018-01-12 15:00:00;12;"JAN";"15:00";-8817;3485;1;0
224;4696;"be";2018-01-12 15:00:00;12;"JAN";"15:00";-194;201;1;0
224;4696;"de";2018-01-12 15:00:00;12;"JAN";"15:00";7961;0;0;9167
224;4696;"nl";2018-01-12 15:00:00;12;"JAN";"15:00";-2706;2299;1;0
360;4646;"fr";2018-01-10 13:00:00;10;"JAN";"13:00";-11786;3;1;0
360;4646;"be";2018-01-10 13:00:00;10;"JAN";"13:00";-1830;1;1;0
360;4646;"de";2018-01-10 13:00:00;10;"JAN";"13:00";8100;0;0;8835
360;4646;"nl";2018-01-10 13:00:00;10;"JAN";"13:00";-524;0;0;0
360;4647;"fr";2018-01-10 14:00:00;10;"JAN";"14:00";-10282;129;1;0
360;4647;"be";2018-01-10 14:00:00;10;"JAN";"14:00";-1741;23;1;0
360;4647;"de";2018-01-10 14:00:00;10;"JAN";"14:00";6454;0;0;8895
360;4647;"nl";2018-01-10 14:00:00;10;"JAN";"14:00";-882;0;0;0
589;3834;"fr";2017-12-07 17:00:00;7;"DEC";"17:00";-6853;0;0;0
589;3834;"be";2017-12-07 17:00:00;7;"DEC";"17:00";-2406;528;1;0
589;3834;"de";2017-12-07 17:00:00;7;"DEC";"17:00";-4102;985;1;7001
589;3834;"nl";2017-12-07 17:00:00;7;"DEC";"17:00";-1000;285;1;0
589;3930;"fr";2017-12-11 17:00:00;11;"DEC";"17:00";-7896;276;1;0
589;3930;"be";2017-12-11 17:00:00;11;"DEC";"17:00";-1029;1769;1;0
589;3930;"de";2017-12-11 17:00:00;11;"DEC";"17:00";-5502;558;1;7481
589;3930;"nl";2017-12-11 17:00:00;11;"DEC";"17:00";-1000;1310;1;0
600;4815;"fr";2018-01-17 14:00:00;17;"JAN";"14:00";-9713;2439;1;0
600;4815;"be";2018-01-17 14:00:00;17;"JAN";"14:00";-1319;141;1;0
600;4815;"de";2018-01-17 14:00:00;17;"JAN";"14:00";6866;0;0;10686
600;4815;"nl";2018-01-17 14:00:00;17;"JAN";"14:00";-996;0;0;0
