"mcYear";"timeId";"link";"time";"day";"month";"hour";"FLOW LIN."
46;4644;"be - nl";2018-01-10 11:00:00;10;"JAN";"11:00";0
46;4644;"de - fr";2018-01-10 11:00:00;10;"JAN";"11:00";256
46;4644;"de - nl";2018-01-10 11:00:00;10;"JAN";"11:00";2074
46;4651;"be - de";2018-01-10 18:00:00;10;"JAN";"18:00";0
46;4651;"be - fr";2018-01-10 18:00:00;10;"JAN";"18:00";-342
46;4651;"be - nl";2018-01-10 18:00:00;10;"JAN";"18:00";0
46;4651;"de - fr";2018-01-10 18:00:00;10;"JAN";"18:00";2532
46;4651;"de - nl";2018-01-10 18:00:00;10;"JAN";"18:00";1035
46;5025;"be - de";2018-01-26 08:00:00;26;"JAN";"08:00";0
46;5025;"be - fr";2018-01-26 08:00:00;26;"JAN";"08:00";-62
46;5025;"be - nl";2018-01-26 08:00:00;26;"JAN";"08:00";0
46;5025;"de - fr";2018-01-26 08:00:00;26;"JAN";"08:00";1748
46;5025;"de - nl";2018-01-26 08:00:00;26;"JAN";"08:00";-567
224;4669;"be - de";2018-01-11 12:00:00;11;"JAN";"12:00";0
224;4669;"be - fr";2018-01-11 12:00:00;11;"JAN";"12:00";234
224;4669;"be - nl";2018-01-11 12:00:00;11;"JAN";"12:00";0
224;4669;"de - fr";2018-01-11 12:00:00;11;"JAN";"12:00";1702
224;4669;"de - nl";2018-01-11 12:00:00;11;"JAN";"12:00";778
224;4691;"be - de";2018-01-12 10:00:00;12;"JAN";"10:00";0
224;4691;"be - fr";2018-01-12 10:00:00;12;"JAN";"10:00";0
224;4691;"be - nl";2018-01-12 10:00:00;12;"JAN";"10:00";0
224;4691;"de - fr";2018-01-12 10:00:00;12;"JAN";"10:00";3376
224;4691;"de - nl";2018-01-12 10:00:00;12;"JAN";"10:00";1164
224;4696;"be - de";2018-01-12 15:00:00;12;"JAN";"15:00";0
224;4696;"be - fr";2018-01-12 15:00:00;12;"JAN";"15:00";-149
224;4696;"be - nl";2018-01-12 15:00:00;12;"JAN";"15:00";0
224;4696;"de - fr";2018-01-12 15:00:00;12;"JAN";"15:00";2735
224;4696;"de - nl";2018-01-12 15:00:00;12;"JAN";"15:00";1706
360;4646;"be - de";2018-01-10 13:00:00;10;"JAN";"13:00";0
360;4646;"be - fr";2018-01-10 13:00:00;10;"JAN";"13:00";-890
360;4646;"be - nl";2018-01-10 13:00:00;10;"JAN";"13:00";0
360;4646;"de - fr";2018-01-10 13:00:00;10;"JAN";"13:00";5025
360;4646;"de - nl";2018-01-10 13:00:00;10;"JAN";"13:00";-476
360;4647;"be - de";2018-01-10 14:00:00;10;"JAN";"14:00";0
360;4647;"be - fr";2018-01-10 14:00:00;10;"JAN";"14:00";-693
360;4647;"be - nl";2018-01-10 14:00:00;10;"JAN";"14:00";0
360;4647;"de - fr";2018-01-10 14:00:00;10;"JAN";"14:00";4675
360;4647;"de - nl";2018-01-10 14:00:00;10;"JAN";"14:00";-118
589;3834;"be - de";2017-12-07 17:00:00;7;"DEC";"17:00";0
589;3834;"be - fr";2017-12-07 17:00:00;7;"DEC";"17:00";-1367
589;3834;"be - nl";2017-12-07 17:00:00;7;"DEC";"17:00";0
589;3834;"de - fr";2017-12-07 17:00:00;7;"DEC";"17:00";0
589;3834;"de - nl";2017-12-07 17:00:00;7;"DEC";"17:00";0
589;3930;"be - de";2017-12-11 17:00:00;11;"DEC";"17:00";0
589;3930;"be - fr";2017-12-11 17:00:00;11;"DEC";"17:00";0
589;3930;"be - nl";2017-12-11 17:00:00;11;"DEC";"17:00";0
589;3930;"de - fr";2017-12-11 17:00:00;11;"DEC";"17:00";0
589;3930;"de - nl";2017-12-11 17:00:00;11;"DEC";"17:00";0
600;4815;"be - de";2018-01-17 14:00:00;17;"JAN";"14:00";0
600;4815;"be - fr";2018-01-17 14:00:00;17;"JAN";"14:00";-256
600;4815;"be - nl";2018-01-17 14:00:00;17;"JAN";"14:00";0
600;4815;"de - fr";2018-01-17 14:00:00;17;"JAN";"14:00";4669
600;4815;"de - nl";2018-01-17 14:00:00;17;"JAN";"14:00";-4
