link,mcYear,timeId,time,day,month,hour,FLOW LIN.
de - nl,46,3931,2017-12-11 18:00:00,11,DEC,18:00,400
de - nl,46,4002,2017-12-14 17:00:00,14,DEC,17:00,1345
de - nl,46,4619,2018-01-09 10:00:00,9,JAN,10:00,3073
de - nl,46,4644,2018-01-10 11:00:00,10,JAN,11:00,2074
de - nl,46,4651,2018-01-10 18:00:00,10,JAN,18:00,1035
de - nl,46,5025,2018-01-26 08:00:00,26,JAN,08:00,1164
be - de,224,4669,2018-01-11 12:00:00,11,JAN,12:00,0
be - de,224,4691,2018-01-12 10:00:00,12,JAN,10:00,0
be - de,224,4696,2018-01-12 15:00:00,12,JAN,15:00,0
be - fr,224,4669,2018-01-11 12:00:00,11,JAN,12:00,234
be - fr,224,4691,2018-01-12 10:00:00,12,JAN,10:00,0
be - fr,224,4696,2018-01-12 15:00:00,12,JAN,15:00,-149
be - nl,224,4669,2018-01-11 12:00:00,11,JAN,12:00,0
be - nl,224,4691,2018-01-12 10:00:00,12,JAN,10:00,0
be - nl,224,4696,2018-01-12 15:00:00,12,JAN,15:00,0
de - fr,224,4669,2018-01-11 12:00:00,11,JAN,12:00,1702
de - fr,224,4691,2018-01-12 10:00:00,12,JAN,10:00,3376
de - fr,224,4696,2018-01-12 15:00:00,12,JAN,15:00,2735
de - nl,224,4669,2018-01-11 12:00:00,11,JAN,12:00,778
de - nl,224,4691,2018-01-12 10:00:00,12,JAN,10:00,1164
de - nl,224,4696,2018-01-12 15:00:00,12,JAN,15:00,1706
be - de,360,4646,2018-01-10 13:00:00,10,JAN,13:00,0
be - de,360,4647,2018-01-10 14:00:00,10,JAN,14:00,0
be - fr,360,4646,2018-01-10 13:00:00,10,JAN,13:00,-890
be - fr,360,4647,2018-01-10 14:00:00,10,JAN,14:00,-693
be - nl,360,4646,2018-01-10 13:00:00,10,JAN,13:00,0
be - nl,360,4647,2018-01-10 14:00:00,10,JAN,14:00,0
de - fr,360,4646,2018-01-10 13:00:00,10,JAN,13:00,5025
de - fr,360,4647,2018-01-10 14:00:00,10,JAN,14:00,4675
de - nl,360,4646,2018-01-10 13:00:00,10,JAN,13:00,-476
de - nl,360,4647,2018-01-10 14:00:00,10,JAN,14:00,-118
be - de,589,3834,2017-12-07 17:00:00,7,DEC,17:00,0
be - de,589,3930,2017-12-11 17:00:00,11,DEC,17:00,0
be - fr,589,3834,2017-12-07 17:00:00,7,DEC,17:00,-1367
be - fr,589,3930,2017-12-11 17:00:00,11,DEC,17:00,0
be - nl,589,3834,2017-12-07 17:00:00,7,DEC,17:00,0
be - nl,589,3930,2017-12-11 17:00:00,11,DEC,17:00,0
de - fr,589,3834,2017-12-07 17:00:00,7,DEC,17:00,0
de - fr,589,3930,2017-12-11 17:00:00,11,DEC,17:00,0
de - nl,589,3834,2017-12-07 17:00:00,7,DEC,17:00,0
de - nl,589,3930,2017-12-11 17:00:00,11,DEC,17:00,0
be - de,600,4815,2018-01-17 14:00:00,17,JAN,14:00,0
be - fr,600,4815,2018-01-17 14:00:00,17,JAN,14:00,-256
be - nl,600,4815,2018-01-17 14:00:00,17,JAN,14:00,0
de - fr,600,4815,2018-01-17 14:00:00,17,JAN,14:00,4669
de - nl,600,4815,2018-01-17 14:00:00,17,JAN,14:00,-4
