area,mcYear,timeId,time,day,month,hour,BALANCE,UNSP. ENRG,LOLD,DTG MRG
fr,10,4801,2018-01-17 00:00:00,17,JAN,00:00,-9160,857,1,0
fr,10,4811,2018-01-17 10:00:00,17,JAN,10:00,-10268,3277,1,0
fr,10,4860,2018-01-19 11:00:00,19,JAN,11:00,-6924,0,0,0
fr,10,4929,2018-01-22 08:00:00,22,JAN,08:00,-12366,1636,1,0
nl,10,4459,2018-01-02 18:00:00,2,JAN,18:00,672,1273,1,0
nl,10,4461,2018-01-02 20:00:00,2,JAN,20:00,862,49,1,0
nl,10,4481,2018-01-03 16:00:00,3,JAN,16:00,-253,1345,1,0
nl,10,4507,2018-01-04 18:00:00,4,JAN,18:00,-688,826,1,0
nl,10,4626,2018-01-09 17:00:00,9,JAN,17:00,-625,17,1,0
nl,10,4801,2018-01-17 00:00:00,17,JAN,00:00,133,0,0,3942
nl,10,4811,2018-01-17 10:00:00,17,JAN,10:00,-986,0,0,0
nl,10,4860,2018-01-19 11:00:00,19,JAN,11:00,-457,7,1,0
nl,10,4929,2018-01-22 08:00:00,22,JAN,08:00,-523,0,0,5837
be,22,2322,2017-10-05 17:00:00,5,OCT,17:00,-2038,84,1,0
be,22,3954,2017-12-12 17:00:00,12,DEC,17:00,-1697,511,1,0
de,22,2322,2017-10-05 17:00:00,5,OCT,17:00,-2503,0,0,21158
de,22,3954,2017-12-12 17:00:00,12,DEC,17:00,1166,0,0,10549
fr,22,2322,2017-10-05 17:00:00,5,OCT,17:00,14349,0,0,9305
fr,22,3954,2017-12-12 17:00:00,12,DEC,17:00,-5874,1779,1,0
nl,22,2322,2017-10-05 17:00:00,5,OCT,17:00,-4596,304,1,0
nl,22,3954,2017-12-12 17:00:00,12,DEC,17:00,-797,620,1,0
be,45,4602,2018-01-08 17:00:00,8,JAN,17:00,-932,0,0,0
de,45,4602,2018-01-08 17:00:00,8,JAN,17:00,-2524,0,0,6832
fr,45,4602,2018-01-08 17:00:00,8,JAN,17:00,-8616,1560,1,0
nl,45,4602,2018-01-08 17:00:00,8,JAN,17:00,-1750,975,1,0
be,46,3931,2017-12-11 18:00:00,11,DEC,18:00,-1418,290,1,0
be,46,4002,2017-12-14 17:00:00,14,DEC,17:00,-868,0,0,0
be,46,4619,2018-01-09 10:00:00,9,JAN,10:00,-938,0,0,0
be,46,4644,2018-01-10 11:00:00,10,JAN,11:00,-1070,0,0,0
be,46,4651,2018-01-10 18:00:00,10,JAN,18:00,-1381,1021,1,0
be,46,5025,2018-01-26 08:00:00,26,JAN,08:00,-1101,22,1,0
de,46,3931,2017-12-11 18:00:00,11,DEC,18:00,6819,0,0,15789
de,46,4002,2017-12-14 17:00:00,14,DEC,17:00,5392,0,0,12567
de,46,4619,2018-01-09 10:00:00,9,JAN,10:00,4867,0,0,12123
de,46,4644,2018-01-10 11:00:00,10,JAN,11:00,7274,0,0,11418
de,46,4651,2018-01-10 18:00:00,10,JAN,18:00,144,0,0,9421
de,46,5025,2018-01-26 08:00:00,26,JAN,08:00,1403,0,0,11045
fr,46,3931,2017-12-11 18:00:00,11,DEC,18:00,-11272,1046,1,0
fr,46,4002,2017-12-14 17:00:00,14,DEC,17:00,-7275,1594,1,0
fr,46,4619,2018-01-09 10:00:00,9,JAN,10:00,-6964,0,0,0
fr,46,4644,2018-01-10 11:00:00,10,JAN,11:00,-9455,270,1,0
fr,46,4651,2018-01-10 18:00:00,10,JAN,18:00,-10290,6552,1,0
fr,46,5025,2018-01-26 08:00:00,26,JAN,08:00,-11586,605,1,0
nl,46,3931,2017-12-11 18:00:00,11,DEC,18:00,600,306,1,0
nl,46,4002,2017-12-14 17:00:00,14,DEC,17:00,-506,1178,1,0
nl,46,4619,2018-01-09 10:00:00,9,JAN,10:00,-4198,331,1,0
nl,46,4644,2018-01-10 11:00:00,10,JAN,11:00,-3074,2093,1,0
nl,46,4651,2018-01-10 18:00:00,10,JAN,18:00,-1035,3094,1,0
nl,46,5025,2018-01-26 08:00:00,26,JAN,08:00,-2164,0,0,1731
be,224,4669,2018-01-11 12:00:00,11,JAN,12:00,146,0,0,0
be,224,4691,2018-01-12 10:00:00,12,JAN,10:00,-832,0,0,0
be,224,4696,2018-01-12 15:00:00,12,JAN,15:00,-194,201,1,0
de,224,4669,2018-01-11 12:00:00,11,JAN,12:00,11426,0,0,8775
de,224,4691,2018-01-12 10:00:00,12,JAN,10:00,6089,0,0,8207
de,224,4696,2018-01-12 15:00:00,12,JAN,15:00,7961,0,0,9167
fr,224,4669,2018-01-11 12:00:00,11,JAN,12:00,-9648,6379,1,0
fr,224,4691,2018-01-12 10:00:00,12,JAN,10:00,-10376,9055,1,0
fr,224,4696,2018-01-12 15:00:00,12,JAN,15:00,-8817,3485,1,0
nl,224,4669,2018-01-11 12:00:00,11,JAN,12:00,-1778,2564,1,0
